Artist	Album	Song	Duration	Explicit
Fela Kuti	He Miss Road	He Miss Road	10.783	0
Mulatu Astatqé,Ethiopian Quintet	Afro-Latin Soul	One for Buzayhew	4.500	0
Chlorine Free	Le Fish	Natural Blend	3.583	0
Archie Whitewater	Archie Whitewater	Cross Country	3.350	0
Frank Sinatra	In the Wee Small Hours	Deep in a Dream	2.883	0
Jamiroquai	The Return of the Space Cowboy	Half the Man	4.817	0
Lenny Kravitz	Let Love Rule	Let Love Rule	5.700	0
Gil Scott-Heron	Pieces of a Man	Home Is Where the Hatred Is	3.333	0
Lisa Stansfield	Seven	Time to Make You Mine	6.017	0
Muddy Waters	Electric Mud	I'm Your Hoochie Coochie Man	4.850	0
